election,year,date,day,ballots,cumulative,percent
2011-general,2011,2011-10-24,-15,1496,1496,0.36
2011-general,2011,2011-10-25,-14,10172,11668,2.81
2011-general,2011,2011-10-26,-13,11285,22953,5.52
2011-general,2011,2011-10-27,-12,5924,28877,6.94
2011-general,2011,2011-10-28,-11,9844,38721,9.31
2011-general,2011,2011-10-29,-10,0,38721,9.31
2011-general,2011,2011-10-30,-9,0,38721,9.31
2011-general,2011,2011-10-31,-8,10782,49503,11.9
2011-general,2011,2011-11-01,-7,12634,62137,14.94
2011-general,2011,2011-11-02,-6,13994,76131,18.31
2011-general,2011,2011-11-03,-5,6331,82462,19.83
2011-general,2011,2011-11-04,-4,11942,94404,22.7
2011-general,2011,2011-11-05,-3,0,94404,22.7
2011-general,2011,2011-11-06,-2,0,94404,22.7
2011-general,2011,2011-11-07,-1,20352,114756,27.59
2011-general,2011,2011-11-08,0,43920,158676,38.15
2011-general,2011,2011-11-09,1,44942,203618,48.96
2011-general,2011,2011-11-10,2,2061,205679,49.46
2011-general,2011,2011-11-11,3,0,205679,49.46
2011-general,2011,2011-11-12,4,0,205679,49.46
2011-general,2011,2011-11-13,5,0,205679,49.46
2011-general,2011,2011-11-14,6,523,206202,49.58
2011-general,2011,2011-11-15,7,67,206269,49.6
2011-general,2011,2011-11-16,8,59,206328,49.61
2011-general,2011,2011-11-17,9,43,206371,49.62
2011-general,2011,2011-11-18,10,4,206375,49.62
2011-general,2011,2011-11-19,11,0,206375,49.62
2011-general,2011,2011-11-20,12,0,206375,49.62
2011-general,2011,2011-11-21,13,8,206383,49.63
2011-general,2011,2011-11-22,14,15,206398,49.63
2011-general,2011,2011-11-23,15,0,206398,49.63
2011-general,2011,2011-11-24,16,0,206398,49.63
2011-general,2011,2011-11-25,17,0,206398,49.63
2011-general,2011,2011-11-26,18,0,206398,49.63
2011-general,2011,2011-11-27,19,0,206398,49.63
2011-general,2011,2011-11-28,20,5,206403,49.63
2012-general,2012,2012-10-22,-15,5280,5280,1.19
2012-general,2012,2012-10-23,-14,8818,14098,3.18
2012-general,2012,2012-10-24,-13,25564,39662,8.95
2012-general,2012,2012-10-25,-12,13044,52706,11.9
2012-general,2012,2012-10-26,-11,14257,66963,15.12
2012-general,2012,2012-10-27,-10,0,66963,15.12
2012-general,2012,2012-10-28,-9,0,66963,15.12
2012-general,2012,2012-10-29,-8,26064,93027,21
2012-general,2012,2012-10-30,-7,33169,126196,28.49
2012-general,2012,2012-10-31,-6,20569,146765,33.13
2012-general,2012,2012-11-01,-5,12127,158892,35.87
2012-general,2012,2012-11-02,-4,21763,180655,40.78
2012-general,2012,2012-11-03,-3,20233,200888,45.35
2012-general,2012,2012-11-04,-2,0,200888,45.35
2012-general,2012,2012-11-05,-1,50459,251347,56.74
2012-general,2012,2012-11-06,0,43286,294633,66.51
2012-general,2012,2012-11-07,1,50299,344932,77.87
2012-general,2012,2012-11-08,2,2971,347903,78.54
2012-general,2012,2012-11-09,3,1299,349202,78.83
2012-general,2012,2012-11-10,4,1852,351054,79.25
2012-general,2012,2012-11-11,5,341,351395,79.32
2012-general,2012,2012-11-12,6,211,351606,79.37
2012-general,2012,2012-11-13,7,258,351864,79.43
2012-general,2012,2012-11-14,8,39,351903,79.44
2012-general,2012,2012-11-15,9,233,352136,79.49
2012-general,2012,2012-11-16,10,156,352292,79.53
2012-general,2012,2012-11-17,11,0,352292,79.53
2012-general,2012,2012-11-18,12,0,352292,79.53
2012-general,2012,2012-11-19,13,204,352496,79.57
2012-general,2012,2012-11-20,14,15,352511,79.58
2012-general,2012,2012-11-21,15,16,352527,79.58
2012-general,2012,2012-11-22,16,0,352527,79.58
2012-general,2012,2012-11-23,17,0,352527,79.58
2012-general,2012,2012-11-24,18,0,352527,79.58
2012-general,2012,2012-11-25,19,0,352527,79.58
2012-general,2012,2012-11-26,20,21,352548,79.58
2013-general,2013,2013-10-21,-15,2510,2510,0.57
2013-general,2013,2013-10-22,-14,7357,9867,2.24
2013-general,2013,2013-10-23,-13,5723,15590,3.55
2013-general,2013,2013-10-24,-12,7720,23310,5.3
2013-general,2013,2013-10-25,-11,8989,32299,7.35
2013-general,2013,2013-10-26,-10,0,32299,7.35
2013-general,2013,2013-10-27,-9,0,32299,7.35
2013-general,2013,2013-10-28,-8,15288,47587,10.83
2013-general,2013,2013-10-29,-7,7591,55178,12.55
2013-general,2013,2013-10-30,-6,4905,60083,13.67
2013-general,2013,2013-10-31,-5,13146,73229,16.66
2013-general,2013,2013-11-01,-4,7150,80379,18.29
2013-general,2013,2013-11-02,-3,0,80379,18.29
2013-general,2013,2013-11-03,-2,0,80379,18.29
2013-general,2013,2013-11-04,-1,22336,102715,23.37
2013-general,2013,2013-11-05,0,40644,143359,32.62
2013-general,2013,2013-11-06,1,29881,173240,39.41
2013-general,2013,2013-11-07,2,9065,182305,41.48
2013-general,2013,2013-11-08,3,326,182631,41.55
2013-general,2013,2013-11-09,4,0,182631,41.55
2013-general,2013,2013-11-10,5,0,182631,41.55
2013-general,2013,2013-11-11,6,0,182631,41.55
2013-general,2013,2013-11-12,7,200,182831,41.6
2013-general,2013,2013-11-13,8,14,182845,41.6
2013-general,2013,2013-11-14,9,112,182957,41.63
2013-general,2013,2013-11-15,10,18,182975,41.63
2013-general,2013,2013-11-16,11,0,182975,41.63
2013-general,2013,2013-11-17,12,0,182975,41.63
2013-general,2013,2013-11-18,13,0,182975,41.63
2013-general,2013,2013-11-19,14,8,182983,41.63
2013-general,2013,2013-11-20,15,1,182984,41.63
2013-general,2013,2013-11-21,16,6,182990,41.63
2013-general,2013,2013-11-22,17,6,182996,41.63
2013-general,2013,2013-11-23,18,0,182996,41.63
2013-general,2013,2013-11-24,19,0,182996,41.63
2013-general,2013,2013-11-25,20,3,182999,41.63
2014-general,2014,2014-10-20,-15,3742,3742,0.85
2014-general,2014,2014-10-21,-14,7592,11334,2.56
2014-general,2014,2014-10-22,-13,11295,22629,5.12
2014-general,2014,2014-10-23,-12,5507,28136,6.37
2014-general,2014,2014-10-24,-11,11179,39315,8.9
2014-general,2014,2014-10-25,-10,0,39315,8.9
