id,name,date,year,type,registered_voters,total_turnout,auditor_url,results_url,precinct_results_url
2018-general,"November 6, 2018 General Election",2018-11-06,2018,General,499164,334554,https://www.co.pierce.wa.us/4779/November-6-2018-General-Election,https://results.vote.wa.gov/results/20181106/export/20181106_Pierce.csv,https://results.vote.wa.gov/results/20181106/export/20181106_PiercePrecincts.csv
2018-primary,"August 7, 2018 Primary Election",2018-08-07,2018,Primary,492036,170484,https://www.co.pierce.wa.us/5528/_2018,http://results.vote.wa.gov/results/20180807/export/20180807_Pierce.csv,http://results.vote.wa.gov/results/20180807/export/20180807_PiercePrecincts.csv
2018-special-2,"April 24, 2018 Special Election",2018-04-24,2018,Special,47489,23400,https://www.co.pierce.wa.us/5528/_2018,http://results.vote.wa.gov/results/20180424/export/20180424_Pierce.csv,http://results.vote.wa.gov/results/20180424/export/20180424_PiercePrecincts.csv
2018-special-1,"February 13, 2018 Special Election",2018-02-13,2018,Special,408609,114501,https://www.co.pierce.wa.us/5528/_2018,http://results.vote.wa.gov/results/20180213/export/20180213_Pierce.csv,http://results.vote.wa.gov/results/20180213/export/20180213_PiercePrecincts.csv
2017-general,"November 7, 2017 General Election",2017-11-07,2017,General,493740,142450,https://www.co.pierce.wa.us/5144/_2017,http://results.vote.wa.gov/results/20171107/export/20171107_Pierce.csv,http://results.vote.wa.gov/results/20171107/export/20171107_PiercePrecincts.csv
2017-primary,"August 1, 2017 Primary Election",2017-08-01,2017,Primary,499090,94431,https://www.co.pierce.wa.us/5144/_2017,http://results.vote.wa.gov/results/20170801/export/20170801_Pierce.csv,http://results.vote.wa.gov/results/20170801/export/20170801_PiercePrecincts.csv
2017-special-1,"February 14, 2017 Special Election",2017-02-14,2017,Special,15551,6481,https://www.co.pierce.wa.us/5144/_2017,http://results.vote.wa.gov/results/20170214/export/20170214_Pierce.csv,http://results.vote.wa.gov/results/20170214/export/20170214_PiercePrecincts.csv
2016-general,"November 8, 2016 General Election",2016-11-08,2016,General,490666,369564,https://www.co.pierce.wa.us/4518/_2016,http://results.vote.wa.gov/results/20161108/export/20161108_Pierce.csv,http://results.vote.wa.gov/results/20161108/export/20161108_PiercePrecincts.csv
2016-primary,"August 2, 2016 Primary Election",2016-08-02,2016,Primary,465435,148808,https://www.co.pierce.wa.us/4518/_2016,http://results.vote.wa.gov/results/20160802/export/20160802_Pierce.csv,http://results.vote.wa.gov/results/20160802/export/20160802_PiercePrecincts.csv
2016-presidential-primary,"May 24, 2016 Presidential Primary Election",2016-05-24,2016,Primary,464788,147759,https://www.co.pierce.wa.us/4518/_2016,http://results.vote.wa.gov/results/20160524/export/20160524_Pierce.csv,http://results.vote.wa.gov/results/20160524/export/20160524_PiercePrecincts.csv
2016-special-2,"April 26, 2016 Special Election",2016-04-26,2016,Special,263488,81808,https://www.co.pierce.wa.us/4518/_2016,http://results.vote.wa.gov/results/20160426/export/20160426_Pierce.csv,http://results.vote.wa.gov/results/20160426/export/20160426_PiercePrecincts.csv
2016-special-1,"February 9, 2016 Special Election",2016-02-09,2016,Special,202099,64337,https://www.co.pierce.wa.us/4518/_2016,http://results.vote.wa.gov/results/20160209/export/20160209_Pierce.csv,http://results.vote.wa.gov/results/20160209/export/20160209_PiercePrecincts.csv
2016-drainage-district,"February 2, 2016 Drainage District Election",2016-02-02,2016,Special,336,80,https://www.co.pierce.wa.us/4518/_2016,,
